computer_datetime,sample,time_ms,time_s,sensor,raw_adc,adc_voltage,module_voltage
computer_datetime,sample,time_ms,time_s,sensor,raw_adc,adc_voltage,module_voltage
2026-09-07T16:14:00.800,1,1520,1.520,MQ-7,234.25,0.3360,0.5040
2026-09-07T16:14:01.522,2,2520,2.520,MQ-7,234.95,0.3356,0.5034
2026-09-07T16:14:02.522,3,3520,3.520,MQ-7,232.25,0.3338,0.5008
2026-09-07T16:14:03.523,4,4520,4.520,MQ-7,233.50,0.3340,0.5011
2026-09-07T16:14:04.523,5,5520,5.520,MQ-7,232.25,0.3334,0.5000
2026-09-07T16:14:05.522,6,6520,6.520,MQ-7,231.25,0.3318,0.4976
2026-09-07T16:14:06.523,7,7520,7.520,MQ-7,231.30,0.3338,0.5006
2026-09-07T16:14:07.523,8,8520,8.520,MQ-7,230.95,0.3339,0.5008
2026-09-07T16:14:08.522,9,9520,9.520,MQ-7,232.35,0.3341,0.5012
2026-09-07T16:14:09.522,10,10520,10.520,MQ-7,231.25,0.3340,0.5009
2026-09-07T16:14:10.522,11,11520,11.520,MQ-7,231.05,0.3330,0.4994
2026-09-07T16:14:11.521,12,12520,12.520,MQ-7,231.40,0.3328,0.4992
2026-09-07T16:14:12.522,13,13520,13.520,MQ-7,230.95,0.3325,0.4988
2026-09-07T16:14:13.522,14,14520,14.520,MQ-7,231.25,0.3338,0.5007
2026-09-07T16:14:14.523,15,15520,15.520,MQ-7,229.70,0.3324,0.4986
2026-09-07T16:14:15.523,16,16520,16.520,MQ-7,233.20,0.3336,0.5004
2026-09-07T16:14:16.522,17,17520,17.520,MQ-7,232.35,0.3340,0.5010
2026-09-07T16:14:17.523,18,18520,18.520,MQ-7,232.35,0.3343,0.5014
2026-09-07T16:14:18.523,19,19520,19.520,MQ-7,232.20,0.3340,0.5011
2026-09-07T16:14:19.522,20,20520,20.520,MQ-7,232.20,0.3330,0.4995
2026-09-07T16:14:20.522,21,21520,21.520,MQ-7,232.25,0.3324,0.4986
2026-09-07T16:14:21.523,22,22520,22.520,MQ-7,231.15,0.3343,0.5014
2026-09-07T16:14:22.523,23,23520,23.520,MQ-7,233.00,0.3325,0.4987
2026-09-07T16:14:23.523,24,24520,24.520,MQ-7,231.35,0.3332,0.4999
2026-09-07T16:14:24.522,25,25520,25.520,MQ-7,229.75,0.3327,0.4990
2026-09-07T16:14:25.523,26,26520,26.520,MQ-7,229.30,0.3327,0.4990
2026-09-07T16:14:26.523,27,27520,27.520,MQ-7,231.00,0.3327,0.4991
2026-09-07T16:14:27.523,28,28520,28.520,MQ-7,229.20,0.3314,0.4971
2026-09-07T16:14:28.522,29,29520,29.520,MQ-7,229.60,0.3324,0.4986
2026-09-07T16:14:29.522,30,30520,30.520,MQ-7,229.35,0.3315,0.4972
2026-09-07T16:14:30.523,31,31520,31.520,MQ-7,227.70,0.3313,0.4969
2026-09-07T16:14:31.522,32,32520,32.520,MQ-7,229.10,0.3321,0.4981
2026-09-07T16:14:32.522,33,33520,33.520,MQ-7,230.65,0.3315,0.4972
2026-09-07T16:14:33.523,34,34520,34.520,MQ-7,229.65,0.3314,0.4971
2026-09-07T16:14:34.522,35,35520,35.520,MQ-7,230.25,0.3304,0.4955
2026-09-07T16:14:35.523,36,36520,36.520,MQ-7,231.20,0.3328,0.4992
2026-09-07T16:14:36.521,37,37520,37.520,MQ-7,231.10,0.3323,0.4984
2026-09-07T16:14:37.523,38,38520,38.520,MQ-7,229.65,0.3306,0.4959
2026-09-07T16:14:38.522,39,39520,39.520,MQ-7,227.95,0.3298,0.4947
2026-09-07T16:14:39.521,40,40520,40.520,MQ-7,228.50,0.3311,0.4967
2026-09-07T16:14:40.522,41,41520,41.520,MQ-7,228.85,0.3287,0.4931
2026-09-07T16:14:41.521,42,42520,42.520,MQ-7,229.65,0.3302,0.4953
2026-09-07T16:14:42.522,43,43520,43.520,MQ-7,229.30,0.3322,0.4983
2026-09-07T16:14:43.522,44,44520,44.520,MQ-7,229.60,0.3307,0.4960
2026-09-07T16:14:44.522,45,45520,45.520,MQ-7,231.20,0.3331,0.4997
2026-09-07T16:14:45.522,46,46520,46.520,MQ-7,230.15,0.3316,0.4975
2026-09-07T16:14:46.524,47,47520,47.520,MQ-7,229.30,0.3312,0.4968
2026-09-07T16:14:47.524,48,48520,48.520,MQ-7,230.55,0.3322,0.4983
2026-09-07T16:14:48.522,49,49520,49.520,MQ-7,229.80,0.3318,0.4978
